-74.802374633
-138.130373199
-138.130373199
-62.0079360081
-62.0079360081
-99.9599919968
-99.9599919968
-99.9599919968
-169.546453811
-169.546453811
-169.546453811
-48.6789693935
-49.6789693935
-143.178210633
-45.6476151588
-45.6476151588
-45.6476151588
-98.9949493661
0.0187253187817
-0.361247837364
-0.534602656185
-47.4341649025
(-109.48059188732951, 0.0)
(-41.231056256176608, 1.0)
(-40.0, 1.0)
(-40.0, 1.0)
(-129.52219886953742, 0.0)
(-129.52219886953742, 0.0)
(-129.52219886953742, 0.0)
(-42.154477816715982, 1.0)
(-108.33743581975715, 0.0)
(-108.33743581975715, 0.0)
(-108.33743581975715, 0.0)
(-41.012193308819754, 1.0)
(-41.012193308819754, 1.0)
(-83.21658488546619, 1.0)
(-74.431176263713581, 0.0)
(-51.478150704935004, 1.0)
(-125.86500705120545, 0.0)
(-125.86500705120545, 0.0)
(-101.49384217774002, 1.0)
(-101.49384217774002, 1.0)
(-48.507731342539614, 1.0)
(-40.792156108742276, 1.0)
(-40.792156108742276, 1.0)
(-70.710678118654755, 0.0)
(-40.01249804748511, 1.0)
(-40.01249804748511, 1.0)
(-88.459030064770658, 0.0)
(-83.600239234107462, 0.0)
(-40.80441152620633, 1.0)
(-40.80441152620633, 1.0)
(-40.607881008493905, 1.0)
(-87.920418561333065, 1.0)
(-95.005263012108969, 0.0)
(-48.507731342539614, 1.0)
(-45.694638635183452, 0.0)
(-86.556340033529608, 0.0)
(-40.447496832313369, 1.0)
(-40.447496832313369, 1.0)
(-55.97320787662612, 1.0)
(-40.447496832313369, 1.0)
(-50.606323715519977, 0.0)
(-81.320354155647891, 0.0)
(-81.320354155647891, 0.0)
(-45.177427992306072, 0.0)
(-52.201532544552748, 0.0)
(-117.17508267545622, 0.0)
(-117.17508267545622, 0.0)
(-117.17508267545622, 0.0)
(-111.08555261599052, 0.0)
(-111.08555261599052, 0.0)
(-109.27488274987991, 0.0)
(-109.27488274987991, 0.0)
(-109.27488274987991, 0.0)
(-62.968245965724662, 0.0)
(-135.95587519485872, 0.0)
(-135.95587519485872, 0.0)
(-135.95587519485872, 0.0)
(-135.95587519485872, 0.0)
(-135.95587519485872, 0.0)
(-105.30906893520614, 0.0)
(-105.30906893520614, 0.0)
(-96.208107766445551, 0.0)
(-90.669730340395304, 0.0)
(-124.53112060846478, 1.0)
(-116.70903992407786, 0.0)
(-56.718603649948932, 0.0)
(-93.263068789312314, 1.0)
(-93.263068789312314, 0.0)
(-93.263068789312314, 1.0)
(-76.05918747922567, 0.0)
(-76.05918747922567, 0.0)
(-12.369316876852981, 1.0)
(-39.05124837953327, 1.0)
(-39.012818406262319, 1.0)
(-108.70602559196064, 0.0)
(-72.111025509279784, 0.0)
(-153.57408635573907, 0.0)
(-153.57408635573907, 0.0)
(-86.838931361457924, 0.0)
(-47.201694884823787, 1.0)
(-47.201694884823787, 1.0)
(-69.892775020026207, 0.0)
(-40.049968789001575, 1.0)
(-4.1231056256176606, 1.0)
(-94.047860156411858, 0.0)
(-79.881161734166085, 0.0)
(-96.79876032264049, 0.0)
(-82.680106434377549, 1.0)
(-100.9554357129917, 1.0)
(-94.111635837445732, 0.0)
(-102.7861858422619, 0.0)
(-87.965902484996988, 0.0)
(-96.332756630338366, 0.0)
(-98.681305220391167, 0.0)
(-84.864598037108507, 0.0)
(-96.834911060009759, 0.0)
(-94.371605899232208, 0.0)
(-87.235313950257549, 0.0)
(-105.17128885774862, 0.0)
(-105.17128885774862, 0.0)
(-105.17128885774862, 0.0)
(-105.17128885774862, 0.0)
(-105.17128885774862, 0.0)
(-105.17128885774862, 0.0)
(-86.683331731077345, 0.0)
(-86.683331731077345, 0.0)
(-51.224993899462788, 0.0)
(-76.05918747922567, 0.0)
(-76.05918747922567, 0.0)
(-47.801673610868477, 0.0)
(-104.23531071570709, 0.0)
(-104.23531071570709, 0.0)
(-45.650848842053307, 0.0)
(-114.00438588054409, 0.0)
(-114.00438588054409, 0.0)
(-114.00438588054409, 0.0)
(-55.226805085936306, 0.0)
(-75.0, 0.0)
(-75.0, 1.0)
(-90.022219479415199, 1.0)
(-90.022219479415199, 0.0)
(-125.21980673998823, 1.0)
(-125.21980673998823, 1.0)
(-125.21980673998823, 1.0)
(-82.328609851011095, 0.0)
(-82.328609851011095, 0.0)
(-105.152270541344, 0.0)
(-62.481997407253232, 0.0)
(-47.010637094172637, 1.0)
(-47.010637094172637, 1.0)
(-131.06105447462264, 0.0)
(-131.06105447462264, 0.0)
(-131.06105447462264, 0.0)
(-44.294469180700204, 1.0)
(-44.294469180700204, 1.0)
(-89.888820216976924, 0.0)
(-89.888820216976924, 0.0)
(-89.888820216976924, 0.0)
(-89.888820216976924, 0.0)
(-89.888820216976924, 0.0)
(-89.888820216976924, 0.0)
(-135.20724832641184, 0.0)
(-71.309185944028272, 0.0)
(-94.085067890712608, 1.0)
(-13.601470508735444, 0.0)
(-13.601470508735444, 0.0)
(-99.02019995940222, 0.0)
(-93.380940239430018, 1.0)
(-93.380940239430018, 1.0)
(-44.77722635447622, 0.0)
(-106.50821564555478, 0.0)
(-114.76933388322858, 0.0)
(-109.62207806824317, 0.0)
(-40.11234224026316, 1.0)
(-92.80086206496145, 0.0)
(-90.956033334793133, 0.0)
(-93.059120993054734, 1.0)
(-120.07081243999309, 1.0)
(-120.07081243999309, 1.0)
(-49.162994213127419, 1.0)
(-118.51160280748886, 0.0)
(-75.802374632988901, 0.0)
(-75.802374632988901, 0.0)
(-75.802374632988901, 0.0)
(-99.362970970075168, 0.0)
(-64.536811201050213, 1.0)
(-90.824005637276315, 0.0)
(-51.855568649856693, 0.0)
(-64.443773942872099, 0.0)
(-51.662365412357957, 0.0)
(-57.428216061444921, 0.0)
(-49.658836071740545, 0.0)
(-49.658836071740545, 0.0)
(-49.658836071740545, 0.0)
(-49.658836071740545, 0.0)
(-49.658836071740545, 0.0)
(-49.658836071740545, 0.0)
(-73.53910524340094, 0.0)
(-66.2872536767062, 1.0)
(-66.603303221386852, 0.0)
(-103.58088626768937, 1.0)
(-70.327803890068964, 1.0)
(-61.220911460055866, 0.0)
(-61.220911460055866, 0.0)
(-105.30432089900205, 0.0)
(-105.8158778255891, 0.0)
(-60.141499815019579, 0.0)
